"table_schema","table_name","ordinal_position","column_name","data_type","is_nullable"
msbf_ctl,m1_17_end_to_end_evidence_snapshot,9,interpretation,text,NO
msbf_ctl,m1_17_end_to_end_evidence_snapshot,10,source_locator,text,NO
msbf_ctl,m1_17_end_to_end_evidence_snapshot,11,row_hash,text,NO
msbf_ctl,m1_17_end_to_end_evidence_snapshot,12,created_at,timestamp with time zone,NO
msbf_ctl,m1_17_g2_bundle_archive,1,g2_bundle_archive_id,bigint,NO
msbf_ctl,m1_17_g2_bundle_archive,2,module1_run_id,bigint,NO
msbf_ctl,m1_17_g2_bundle_archive,3,bundle_code,text,NO
msbf_ctl,m1_17_g2_bundle_archive,4,bundle_version,integer,NO
msbf_ctl,m1_17_g2_bundle_archive,5,schema_version,text,NO
msbf_ctl,m1_17_g2_bundle_archive,6,methodology_version,text,NO
msbf_ctl,m1_17_g2_bundle_archive,7,source_contract_count,integer,NO
msbf_ctl,m1_17_g2_bundle_archive,8,integrated_consumption_rows,bigint,NO
msbf_ctl,m1_17_g2_bundle_archive,9,hash_chain_rows,bigint,NO
msbf_ctl,m1_17_g2_bundle_archive,10,evidence_snapshot_rows,bigint,NO
msbf_ctl,m1_17_g2_bundle_archive,11,hash_chain_set_hash,text,NO
msbf_ctl,m1_17_g2_bundle_archive,12,evidence_set_hash,text,NO
msbf_ctl,m1_17_g2_bundle_archive,13,bundle_payload,jsonb,NO
msbf_ctl,m1_17_g2_bundle_archive,14,source_latest_row_hash,text,NO
msbf_ctl,m1_17_g2_bundle_archive,15,archive_row_hash,text,NO
msbf_ctl,m1_17_g2_bundle_archive,16,archived_at,timestamp with time zone,NO
msbf_ctl,m1_17_g2_bundle_archive,17,created_at,timestamp with time zone,NO
msbf_ctl,m1_17_g2_bundle_latest,1,module1_run_id,bigint,NO
msbf_ctl,m1_17_g2_bundle_latest,2,bundle_code,text,NO
msbf_ctl,m1_17_g2_bundle_latest,3,bundle_version,integer,NO
msbf_ctl,m1_17_g2_bundle_latest,4,schema_version,text,NO
msbf_ctl,m1_17_g2_bundle_latest,5,methodology_version,text,NO
msbf_ctl,m1_17_g2_bundle_latest,6,source_contract_count,integer,NO
msbf_ctl,m1_17_g2_bundle_latest,7,integrated_consumption_rows,bigint,NO
msbf_ctl,m1_17_g2_bundle_latest,8,hash_chain_rows,bigint,NO
msbf_ctl,m1_17_g2_bundle_latest,9,evidence_snapshot_rows,bigint,NO
msbf_ctl,m1_17_g2_bundle_latest,10,hash_chain_set_hash,text,NO
msbf_ctl,m1_17_g2_bundle_latest,11,evidence_set_hash,text,NO
msbf_ctl,m1_17_g2_bundle_latest,12,bundle_payload,jsonb,NO
msbf_ctl,m1_17_g2_bundle_latest,13,contract_row_hash,text,NO
msbf_ctl,m1_17_g2_bundle_latest,14,created_at,timestamp with time zone,NO
msbf_ctl,m1_17_g2_bundle_registry,1,g2_bundle_registry_id,bigint,NO
msbf_ctl,m1_17_g2_bundle_registry,2,module1_run_id,bigint,NO
msbf_ctl,m1_17_g2_bundle_registry,3,bundle_code,text,NO
msbf_ctl,m1_17_g2_bundle_registry,4,bundle_version,integer,NO
msbf_ctl,m1_17_g2_bundle_registry,5,schema_version,text,NO
msbf_ctl,m1_17_g2_bundle_registry,6,methodology_version,text,NO
msbf_ctl,m1_17_g2_bundle_registry,7,source_m1_15_contract_code,text,NO
msbf_ctl,m1_17_g2_bundle_registry,8,source_m1_15_contract_version,integer,NO
msbf_ctl,m1_17_g2_bundle_registry,9,source_m1_15_schema_version,text,NO
msbf_ctl,m1_17_g2_bundle_registry,10,source_m1_15_combined_hash,text,NO
msbf_ctl,m1_17_g2_bundle_registry,11,source_m1_16_contract_code,text,NO
msbf_ctl,m1_17_g2_bundle_registry,12,source_m1_16_contract_version,integer,NO
msbf_ctl,m1_17_g2_bundle_registry,13,source_m1_16_schema_version,text,NO
msbf_ctl,m1_17_g2_bundle_registry,14,source_m1_16_combined_hash,text,NO
msbf_ctl,m1_17_g2_bundle_registry,15,accepted_scenario_set_hash,text,NO
msbf_ctl,m1_17_g2_bundle_registry,16,policy_configuration_hash,text,NO
msbf_ctl,m1_17_g2_bundle_registry,17,predecessor_gate_count,integer,NO
msbf_ctl,m1_17_g2_bundle_registry,18,integrated_consumption_rows,bigint,NO
msbf_ctl,m1_17_g2_bundle_registry,19,hash_chain_rows,bigint,NO
msbf_ctl,m1_17_g2_bundle_registry,20,evidence_snapshot_rows,bigint,NO
msbf_ctl,m1_17_g2_bundle_registry,21,canonical_entities,bigint,NO
msbf_ctl,m1_17_g2_bundle_registry,22,hash_chain_set_hash,text,YES
msbf_ctl,m1_17_g2_bundle_registry,23,evidence_set_hash,text,YES
msbf_ctl,m1_17_g2_bundle_registry,24,bundle_latest_set_hash,text,YES
msbf_ctl,m1_17_g2_bundle_registry,25,bundle_archive_set_hash,text,YES
msbf_ctl,m1_17_g2_bundle_registry,26,contract_set_hash,text,YES
msbf_ctl,m1_17_g2_bundle_registry,27,combined_g2_hash,text,YES
msbf_ctl,m1_17_g2_bundle_registry,28,bundle_status,text,NO
msbf_ctl,m1_17_g2_bundle_registry,29,generated_at,timestamp with time zone,YES
msbf_ctl,m1_17_g2_bundle_registry,30,validated_at,timestamp with time zone,YES
msbf_ctl,m1_17_g2_bundle_registry,31,accepted_at,timestamp with time zone,YES
msbf_ctl,m1_17_g2_bundle_registry,32,row_hash,text,NO
msbf_ctl,m1_17_g2_bundle_registry,33,created_at,timestamp with time zone,NO
msbf_ctl,m1_17_hash_chain_snapshot,1,module1_run_id,bigint,NO
msbf_ctl,m1_17_hash_chain_snapshot,2,stage_sequence,integer,NO
msbf_ctl,m1_17_hash_chain_snapshot,3,stage_code,text,NO
msbf_ctl,m1_17_hash_chain_snapshot,4,artifact_code,text,NO
msbf_ctl,m1_17_hash_chain_snapshot,5,expected_hash,text,NO
msbf_ctl,m1_17_hash_chain_snapshot,6,observed_hash,text,YES
msbf_ctl,m1_17_hash_chain_snapshot,7,source_locator,text,NO
msbf_ctl,m1_17_hash_chain_snapshot,8,verification_status,text,NO
msbf_ctl,m1_17_hash_chain_snapshot,9,row_hash,text,NO
msbf_ctl,m1_17_hash_chain_snapshot,10,created_at,timestamp with time zone,NO
msbf_ctl,m1_17_policy_profile,1,policy_profile_id,bigint,NO
msbf_ctl,m1_17_policy_profile,2,policy_code,text,NO
msbf_ctl,m1_17_policy_profile,3,methodology_version,text,NO
msbf_ctl,m1_17_policy_profile,4,bundle_code,text,NO
msbf_ctl,m1_17_policy_profile,5,bundle_version,integer,NO
msbf_ctl,m1_17_policy_profile,6,schema_version,text,NO
msbf_ctl,m1_17_policy_profile,7,expected_hash_chain_rows,integer,NO
msbf_ctl,m1_17_policy_profile,8,expected_evidence_rows,integer,NO
msbf_ctl,m1_17_policy_profile,9,expected_bundle_latest_rows,integer,NO
msbf_ctl,m1_17_policy_profile,10,expected_bundle_archive_rows,integer,NO
msbf_ctl,m1_17_policy_profile,11,expected_registry_rows,integer,NO
msbf_ctl,m1_17_policy_profile,12,expected_integrated_rows,integer,NO
msbf_ctl,m1_17_policy_profile,13,expected_canonical_entities,integer,NO
msbf_ctl,m1_17_policy_profile,14,expected_positive_controls,integer,NO
msbf_ctl,m1_17_policy_profile,15,expected_negative_controls,integer,NO
msbf_ctl,m1_17_policy_profile,16,expected_detail_result_sets,integer,NO
msbf_ctl,m1_17_policy_profile,17,required_predecessor_gates,integer,NO
msbf_ctl,m1_17_policy_profile,18,synthetic_data_only_flag,boolean,NO
msbf_ctl,m1_17_policy_profile,19,no_new_business_analytics_flag,boolean,NO
msbf_ctl,m1_17_policy_profile,20,no_module2_outputs_flag,boolean,NO
msbf_ctl,m1_17_policy_profile,21,package_static_validation_required,boolean,NO
msbf_ctl,m1_17_policy_profile,22,policy_status,text,NO
msbf_ctl,m1_17_policy_profile,23,configuration_hash,text,NO
msbf_ctl,m1_17_policy_profile,24,created_at,timestamp with time zone,NO
msbf_ctl,m1_17_policy_profile,25,updated_at,timestamp with time zone,NO
msbf_ctl,m2_1_policy_profile,1,policy_code,text,NO
msbf_ctl,m2_1_policy_profile,2,methodology_version,text,NO
msbf_ctl,m2_1_policy_profile,3,contract_code,text,NO
msbf_ctl,m2_1_policy_profile,4,contract_version,integer,NO
msbf_ctl,m2_1_policy_profile,5,schema_version,text,NO
msbf_ctl,m2_1_policy_profile,6,source_g2_bundle_code,text,NO
msbf_ctl,m2_1_policy_profile,7,source_g2_bundle_version,integer,NO
msbf_ctl,m2_1_policy_profile,8,source_g2_schema_version,text,NO
msbf_ctl,m2_1_policy_profile,9,required_source_g2_hash,text,NO
msbf_ctl,m2_1_policy_profile,10,strategy_campaign_code,text,NO
msbf_ctl,m2_1_policy_profile,11,strategy_campaign_version,integer,NO
msbf_ctl,m2_1_policy_profile,12,expected_gate_count,integer,NO
msbf_ctl,m2_1_policy_profile,13,expected_reason_count,integer,NO
msbf_ctl,m2_1_policy_profile,14,expected_outcome_count,integer,NO
msbf_ctl,m2_1_policy_profile,15,expected_input_rows,integer,NO
msbf_ctl,m2_1_policy_profile,16,expected_gate_result_rows,integer,NO
msbf_ctl,m2_1_policy_profile,17,expected_snapshot_rows,integer,NO
msbf_ctl,m2_1_policy_profile,18,expected_latest_rows,integer,NO
msbf_ctl,m2_1_policy_profile,19,expected_archive_rows,integer,NO
msbf_ctl,m2_1_policy_profile,20,expected_comparison_rows,integer,NO
msbf_ctl,m2_1_policy_profile,21,expected_canonical_entities,integer,NO
msbf_ctl,m2_1_policy_profile,22,expected_positive_controls,integer,NO
msbf_ctl,m2_1_policy_profile,23,expected_negative_controls,integer,NO
msbf_ctl,m2_1_policy_profile,24,expected_detail_result_sets,integer,NO
msbf_ctl,m2_1_policy_profile,25,route_rank_order,jsonb,NO
msbf_ctl,m2_1_policy_profile,26,threshold_payload,jsonb,NO
msbf_ctl,m2_1_policy_profile,27,synthetic_data_only_flag,boolean,NO
msbf_ctl,m2_1_policy_profile,28,no_final_offer_terms_flag,boolean,NO
msbf_ctl,m2_1_policy_profile,29,no_production_adverse_action_flag,boolean,NO
msbf_ctl,m2_1_policy_profile,30,acquisition_source_review_only_flag,boolean,NO
msbf_ctl,m2_1_policy_profile,31,policy_status,text,NO
