schema_name,table_name,column_ordinal,column_name,data_type,nullable,m1_4_dependency
msbf_m1,merchant_deposit_daily_base,1,population_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_base,2,merchant_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_base,3,observation_date,date,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_base,4,opening_balance,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_base,5,deposit_amount,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_base,6,withdrawal_amount,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_base,7,closing_balance,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_base,8,available_balance,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_base,9,minimum_balance,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_base,10,nsf_count,smallint,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_base,11,negative_balance_flag,boolean,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_base,12,source_contract_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_base,13,generated_by_run_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_base,14,row_hash,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_scenario,1,scenario_row_id,bigint GENERATED ALWAYS AS IDENTITY,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_scenario,2,scenario_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_scenario,3,base_row_hash,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_scenario,4,scenario_overlay_payload,jsonb,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_scenario,5,population_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_scenario,6,merchant_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_scenario,7,observation_date,date,False,Referenced by controlled M1.4 SQL
