schema_name,table_name,column_name
msbf_m1,merchant_feature_snapshot,new_remittance_to_sales_rate
msbf_m1,merchant_feature_snapshot,nsf_count_30d
msbf_m1,merchant_feature_snapshot,owner_credit_score
msbf_m1,merchant_feature_snapshot,partner_channel_id
msbf_m1,merchant_feature_snapshot,population_id
msbf_m1,merchant_feature_snapshot,pos_history_days
msbf_m1,merchant_feature_snapshot,post_financing_coverage_ratio
msbf_m1,merchant_feature_snapshot,prior_default_flag
msbf_m1,merchant_feature_snapshot,processor_account_id
msbf_m1,merchant_feature_snapshot,processor_continuity_status
msbf_m1,merchant_feature_snapshot,processor_tenure_months
msbf_m1,merchant_feature_snapshot,refund_rate_30d
msbf_m1,merchant_feature_snapshot,requested_expected_daily_remittance
msbf_m1,merchant_feature_snapshot,residual_daily_cash_flow
msbf_m1,merchant_feature_snapshot,reversal_rate_30d
msbf_m1,merchant_feature_snapshot,sales_growth_30d_vs_90d
msbf_m1,merchant_feature_snapshot,sales_growth_7d_vs_30d
msbf_m1,merchant_feature_snapshot,scenario_id
msbf_m1,merchant_feature_snapshot,seasonality_index_180d
msbf_m1,merchant_feature_snapshot,source_confidence_score
msbf_m1,merchant_feature_snapshot,stacking_flag
msbf_m1,merchant_feature_snapshot,total_remittance_to_sales_rate
msbf_m1,merchant_feature_snapshot,verification_status
msbf_m1,merchant_feature_snapshot,zero_sales_day_rate_30d
msbf_m1,merchant_master,active_flag
msbf_m1,merchant_master,annual_sales_band
msbf_m1,merchant_master,base_currency
msbf_m1,merchant_master,created_by_run_id
msbf_m1,merchant_master,created_date
msbf_m1,merchant_master,incorporation_date
msbf_m1,merchant_master,intrinsic_profile_hash
msbf_m1,merchant_master,legal_entity_type
msbf_m1,merchant_master,merchant_id
msbf_m1,merchant_master,merchant_size_tier
msbf_m1,merchant_master,population_id
msbf_m1,merchant_master,region_code
msbf_m1,merchant_master,synthetic_business_name
msbf_m1,merchant_master,synthetic_data_flag
msbf_m1,merchant_pos_daily_base,average_ticket_amount
msbf_m1,merchant_pos_daily_base,chargeback_amount
msbf_m1,merchant_pos_daily_base,data_connection_status
msbf_m1,merchant_pos_daily_base,eligible_pos_sales
msbf_m1,merchant_pos_daily_base,generated_by_run_id
msbf_m1,merchant_pos_daily_base,governed_exclusion_amount
msbf_m1,merchant_pos_daily_base,gross_pos_sales
msbf_m1,merchant_pos_daily_base,merchant_id
msbf_m1,merchant_pos_daily_base,net_merchant_proceeds
msbf_m1,merchant_pos_daily_base,observation_date
msbf_m1,merchant_pos_daily_base,population_id
msbf_m1,merchant_pos_daily_base,processor_account_id
msbf_m1,merchant_pos_daily_base,processor_fee_amount
msbf_m1,merchant_pos_daily_base,processor_status
msbf_m1,merchant_pos_daily_base,refund_amount
msbf_m1,merchant_pos_daily_base,reversal_amount
msbf_m1,merchant_pos_daily_base,row_hash
msbf_m1,merchant_pos_daily_base,settlement_amount
msbf_m1,merchant_pos_daily_base,source_contract_id
msbf_m1,merchant_pos_daily_base,transaction_count
msbf_m1,merchant_pos_daily_base,zero_sales_day_flag
msbf_m1,merchant_pos_daily_scenario,average_ticket_amount
msbf_m1,merchant_pos_daily_scenario,base_row_hash
msbf_m1,merchant_pos_daily_scenario,chargeback_amount
msbf_m1,merchant_pos_daily_scenario,data_connection_status
msbf_m1,merchant_pos_daily_scenario,direct_shock_factor
msbf_m1,merchant_pos_daily_scenario,eligible_pos_sales
msbf_m1,merchant_pos_daily_scenario,generated_by_run_id
msbf_m1,merchant_pos_daily_scenario,governed_exclusion_amount
msbf_m1,merchant_pos_daily_scenario,gross_pos_sales
msbf_m1,merchant_pos_daily_scenario,merchant_id
msbf_m1,merchant_pos_daily_scenario,net_merchant_proceeds
msbf_m1,merchant_pos_daily_scenario,observation_date
msbf_m1,merchant_pos_daily_scenario,population_id
msbf_m1,merchant_pos_daily_scenario,processor_account_id
msbf_m1,merchant_pos_daily_scenario,processor_fee_amount
msbf_m1,merchant_pos_daily_scenario,processor_status
msbf_m1,merchant_pos_daily_scenario,propagated_shock_factor
msbf_m1,merchant_pos_daily_scenario,refund_amount
msbf_m1,merchant_pos_daily_scenario,reversal_amount
msbf_m1,merchant_pos_daily_scenario,row_hash
msbf_m1,merchant_pos_daily_scenario,scenario_id
msbf_m1,merchant_pos_daily_scenario,scenario_overlay_payload
msbf_m1,merchant_pos_daily_scenario,scenario_row_id
msbf_m1,merchant_pos_daily_scenario,settlement_amount
msbf_m1,merchant_pos_daily_scenario,source_contract_id
msbf_m1,merchant_pos_daily_scenario,transaction_count
msbf_m1,merchant_pos_daily_scenario,zero_sales_day_flag
msbf_m1,merchant_risk_snapshot,as_of_date
msbf_m1,merchant_risk_snapshot,base_credit_risk_points
msbf_m1,merchant_risk_snapshot,base_credit_risk_proxy
msbf_m1,merchant_risk_snapshot,business_owner_credit_points
msbf_m1,merchant_risk_snapshot,business_stability_points
msbf_m1,merchant_risk_snapshot,cash_flow_risk_points
msbf_m1,merchant_risk_snapshot,created_at
msbf_m1,merchant_risk_snapshot,credit_risk_tier
msbf_m1,merchant_risk_snapshot,data_confidence_points
msbf_m1,merchant_risk_snapshot,data_confidence_tier
msbf_m1,merchant_risk_snapshot,expected_ead_amount
msbf_m1,merchant_risk_snapshot,expected_ead_rate
msbf_m1,merchant_risk_snapshot,expected_loss_rate
msbf_m1,merchant_risk_snapshot,fraud_risk_tier
msbf_m1,merchant_risk_snapshot,hard_stop_recommended_flag
msbf_m1,merchant_risk_snapshot,industry_channel_points
msbf_m1,merchant_risk_snapshot,lgd_input_rate
msbf_m1,merchant_risk_snapshot,liquidity_risk_points
msbf_m1,merchant_risk_snapshot,manual_review_recommended_flag
msbf_m1,merchant_risk_snapshot,merchant_application_id
msbf_m1,merchant_risk_snapshot,module1_run_id
msbf_m1,merchant_risk_snapshot,obligation_risk_points
msbf_m1,merchant_risk_snapshot,operational_continuity_status
msbf_m1,merchant_risk_snapshot,primary_reason_code
msbf_m1,merchant_risk_snapshot,raw_base_risk_score
msbf_m1,merchant_risk_snapshot,requested_structure_points
msbf_m1,merchant_risk_snapshot,requested_structure_risk_proxy
msbf_m1,merchant_risk_snapshot,risk_cap_applied_flag
msbf_m1,merchant_risk_snapshot,risk_floor_applied_flag
msbf_m1,merchant_risk_snapshot,risk_snapshot_hash
msbf_m1,merchant_risk_snapshot,schedule_adjusted_expected_loss_amount
msbf_m1,merchant_risk_snapshot,simple_expected_loss_amount
msbf_m1,merchant_risk_snapshot,transaction_quality_points
msbf_m1,module1_archive,adjusted_eligible_daily_revenue
msbf_m1,module1_archive,archive_id
msbf_m1,module1_archive,archived_at
msbf_m1,module1_archive,as_of_date
msbf_m1,module1_archive,base_credit_risk_proxy
msbf_m1,module1_archive,cashflow_archetype_code
msbf_m1,module1_archive,contract_code
msbf_m1,module1_archive,contract_row_hash
msbf_m1,module1_archive,contract_version
msbf_m1,module1_archive,created_at
msbf_m1,module1_archive,credit_risk_tier
msbf_m1,module1_archive,data_confidence_tier
msbf_m1,module1_archive,expected_ead_amount
msbf_m1,module1_archive,expected_loss_rate
msbf_m1,module1_archive,fraud_risk_tier
msbf_m1,module1_archive,hard_stop_recommended_flag
msbf_m1,module1_archive,industry_code
msbf_m1,module1_archive,lgd_input_rate
msbf_m1,module1_archive,manual_review_recommended_flag
msbf_m1,module1_archive,merchant_application_id
msbf_m1,module1_archive,merchant_id
msbf_m1,module1_archive,module1_run_id
msbf_m1,module1_archive,partner_channel_id
msbf_m1,module1_archive,population_id
msbf_m1,module1_archive,post_financing_coverage_ratio
msbf_m1,module1_archive,primary_reason_code
msbf_m1,module1_archive,processor_continuity_status
msbf_m1,module1_archive,requested_expected_daily_remittance
msbf_m1,module1_archive,requested_expected_payoff_days
msbf_m1,module1_archive,requested_funding_amount
msbf_m1,module1_archive,requested_remittance_rate
msbf_m1,module1_archive,requested_structure_risk_proxy
msbf_m1,module1_archive,scenario_id
msbf_m1,module1_archive,schedule_adjusted_expected_loss_amount
msbf_m1,module1_latest,adjusted_eligible_daily_revenue
msbf_m1,module1_latest,as_of_date
msbf_m1,module1_latest,base_credit_risk_proxy
msbf_m1,module1_latest,cashflow_archetype_code
msbf_m1,module1_latest,contract_code
msbf_m1,module1_latest,contract_row_hash
msbf_m1,module1_latest,contract_version
msbf_m1,module1_latest,created_at
msbf_m1,module1_latest,credit_risk_tier
msbf_m1,module1_latest,data_confidence_tier
msbf_m1,module1_latest,expected_ead_amount
msbf_m1,module1_latest,expected_loss_rate
msbf_m1,module1_latest,fraud_risk_tier
msbf_m1,module1_latest,hard_stop_recommended_flag
msbf_m1,module1_latest,industry_code
msbf_m1,module1_latest,lgd_input_rate
msbf_m1,module1_latest,manual_review_recommended_flag
msbf_m1,module1_latest,merchant_application_id
