schema_name,table_name,ordinal_position,column_name,data_type,nullable,default_expression,stage
msbf_m1,application_acquisition_attribution_snapshot,26,attribution_evidence_status,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,27,application_request_hash,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,28,m1_15_baseline_contract_row_hash,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,29,m1_15_stress_contract_row_hash,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,30,row_hash,text,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,31,created_by_run_id,bigint,NO,,M1.16
msbf_m1,application_acquisition_attribution_snapshot,32,created_at,timestamptz,NO,clock_timestamp(),M1.16
msbf_m1,application_acquisition_cost_component_value,1,module1_run_id,bigint,NO,,M1.16
msbf_m1,application_acquisition_cost_component_value,2,merchant_application_id,text,NO,,M1.16
msbf_m1,application_acquisition_cost_component_value,3,cost_component_code,text,NO,,M1.16
msbf_m1,application_acquisition_cost_component_value,4,component_version,integer,NO,,M1.16
msbf_m1,application_acquisition_cost_component_value,5,component_role_code,text,NO,,M1.16
msbf_m1,application_acquisition_cost_component_value,6,cost_timing_code,text,NO,,M1.16
msbf_m1,application_acquisition_cost_component_value,7,cost_basis_code,text,NO,,M1.16
msbf_m1,application_acquisition_cost_component_value,8,component_amount,"numeric(18,2)",YES,,M1.16
msbf_m1,application_acquisition_cost_component_value,9,evidence_status,text,NO,,M1.16
msbf_m1,application_acquisition_cost_component_value,10,included_in_m1_14_flag,boolean,NO,,M1.16
msbf_m1,application_acquisition_cost_component_value,11,legacy_overlap_class,text,NO,,M1.16
msbf_m1,application_acquisition_cost_component_value,12,sign_multiplier,smallint,NO,,M1.16
msbf_m1,application_acquisition_cost_component_value,13,calculation_hash,text,NO,,M1.16
msbf_m1,application_acquisition_cost_component_value,14,source_lineage_payload,jsonb,NO,,M1.16
msbf_m1,application_acquisition_cost_component_value,15,row_hash,text,NO,,M1.16
msbf_m1,application_acquisition_cost_component_value,16,created_by_run_id,bigint,NO,,M1.16
msbf_m1,application_acquisition_cost_component_value,17,created_at,timestamptz,NO,clock_timestamp(),M1.16
msbf_m1,application_acquisition_cost_snapshot,1,module1_run_id,bigint,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,2,merchant_application_id,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,3,population_id,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,4,merchant_id,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,5,as_of_date,date,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,6,accepted_partner_channel_id,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,7,accepted_channel_type,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,8,accepted_application_channel,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,9,primary_source_code,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,10,primary_campaign_id,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,11,paid_media_cost_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,12,direct_mail_event_outbound_cost_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,13,purchased_lead_cost_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,14,internal_sales_rm_cost_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,15,agency_creative_tech_cost_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,16,campaign_overhead_cost_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,17,acquisition_incentive_cost_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,18,detailed_conditional_partner_broker_cost_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,19,direct_attributable_incurred_cost_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,20,internally_allocated_acquisition_cost_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,21,total_incurred_pre_application_cost_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,22,detailed_total_acquisition_cost_if_booked,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,23,accepted_m1_14_acquisition_cost_rate,"numeric(12,8)",NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,24,accepted_m1_14_acquisition_cost_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,25,legacy_m1_14_cost_scope_code,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,26,mapped_detailed_cost_potentially_represented,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,27,identified_legacy_overlap_amount,"numeric(18,2)",YES,,M1.16
msbf_m1,application_acquisition_cost_snapshot,28,unmapped_legacy_proxy_amount,"numeric(18,2)",YES,,M1.16
msbf_m1,application_acquisition_cost_snapshot,29,incremental_acquisition_cost_beyond_m1_14,"numeric(18,2)",YES,,M1.16
msbf_m1,application_acquisition_cost_snapshot,30,enhanced_total_acquisition_cost_if_booked,"numeric(18,2)",YES,,M1.16
msbf_m1,application_acquisition_cost_snapshot,31,attribution_evidence_status,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,32,cost_evidence_status,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,33,overlap_evidence_status,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,34,acquisition_contract_evidence_status,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,35,supported_zero_component_count,smallint,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,36,fallback_path_code,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,37,primary_cost_reason_code,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,38,secondary_cost_reason_codes,text[],NO,'{}'::text[],M1.16
msbf_m1,application_acquisition_cost_snapshot,39,attribution_snapshot_hash,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,40,m1_14_baseline_row_hash,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,41,m1_14_stress_row_hash,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,42,m1_14_combined_set_hash,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,43,m1_15_baseline_contract_row_hash,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,44,m1_15_stress_contract_row_hash,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,45,m1_15_combined_set_hash,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,46,m1_16_policy_configuration_hash,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,47,row_hash,text,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,48,created_by_run_id,bigint,NO,,M1.16
msbf_m1,application_acquisition_cost_snapshot,49,created_at,timestamptz,NO,clock_timestamp(),M1.16
msbf_ctl,m1_16_acquisition_contract_registry,1,contract_code,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,2,contract_version,integer,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,3,module1_run_id,bigint,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,4,schema_version,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,5,scenario_set_id,bigint,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,6,methodology_version,text,NO,,M1.16
