relation_name,column_name,data_type,reference_scope
msbf_m1.application_verification_fraud_snapshot,data_connection_gap_day_rate,"numeric(9,6)",Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,deposit_source_snapshot_id,bigint,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,fraud_reason_flags,jsonb,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,fraud_risk_tier,smallint,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,fraud_score,"numeric(9,6)",Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,hard_stop_recommended_flag,boolean,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,manual_review_recommended_flag,boolean,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,merchant_application_id,text,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,module1_run_id,bigint,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,pos_source_snapshot_id,bigint,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,primary_reason_code,text,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,processor_active_day_rate,"numeric(9,6)",Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,processor_continuity_risk_tier,smallint,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,processor_continuity_status,text,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,processor_degraded_day_rate,"numeric(9,6)",Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,processor_outage_day_rate,"numeric(9,6)",Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,recent_processor_outage_day_rate,"numeric(9,6)",Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,row_hash,text,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,secondary_reason_codes,text[],Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,stress_data_connection_gap_day_rate,"numeric(9,6)",Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,stress_processor_continuity_risk_tier,smallint,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,stress_processor_continuity_status,text,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,stress_processor_degraded_day_rate,"numeric(9,6)",Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,stress_processor_outage_day_rate,"numeric(9,6)",Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,verification_disposition,text,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,verification_fail_count,smallint,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,verification_pass_count,smallint,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,verification_review_count,smallint,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,verification_source_snapshot_id,bigint,Referenced upstream or control relation
msbf_m1.application_verification_fraud_snapshot,verification_unavailable_count,smallint,Referenced upstream or control relation
msbf_m1.ead_path_snapshot,default_timing_weight,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.ead_path_snapshot,expected_outstanding_balance,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.ead_path_snapshot,expected_payment_amount,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.ead_path_snapshot,expected_principal_reduction,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.ead_path_snapshot,merchant_application_id,text,Referenced upstream or control relation
msbf_m1.ead_path_snapshot,module1_run_id,bigint,Referenced upstream or control relation
msbf_m1.ead_path_snapshot,path_day,smallint,Referenced upstream or control relation
msbf_m1.ead_path_snapshot,path_hash,text,Referenced upstream or control relation
msbf_m1.ead_path_snapshot,weighted_ead_amount,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.feature_definition,active_flag,boolean,Referenced upstream or control relation
